V2007,V2010,V2009,V3009A,UF
2,1,39,7.0,11
1,4,50,7.0,11
1,4,35,7.0,11
2,4,25,7.0,11
1,4,57,7.0,11
2,4,37,7.0,11
1,4,77,7.0,11
1,2,48,7.0,11
2,2,59,7.0,11
1,1,32,7.0,11
1,1,83,7.0,11
2,4,44,7.0,11
1,5,49,7.0,11
1,1,52,7.0,11
1,4,38,7.0,11
1,4,56,7.0,11
2,1,51,7.0,11
1,2,58,7.0,11
1,1,64,7.0,11
2,4,52,7.0,11
1,4,25,7.0,11
2,4,16,7.0,11
2,4,48,7.0,11
1,2,55,7.0,11
2,1,28,7.0,11
2,4,55,7.0,11
1,1,45,7.0,11
2,4,60,7.0,11
2,4,60,7.0,11
1,1,55,7.0,11
2,4,32,8.0,11
2,4,49,7.0,11
1,4,45,7.0,11
1,4,26,8.0,11
2,4,33,7.0,11
1,4,45,7.0,11
2,4,59,7.0,11
1,4,37,8.0,11
2,4,28,8.0,11
2,4,60,7.0,11
1,4,78,7.0,11
1,1,25,7.0,11
2,4,31,7.0,11
1,4,42,7.0,11
1,4,59,7.0,11
1,4,27,7.0,11
1,1,53,7.0,11
1,4,26,7.0,11
2,1,49,7.0,11
1,1,52,7.0,11
1,4,50,7.0,11
2,4,51,7.0,11
1,1,52,7.0,11
2,4,72,8.0,11
1,4,42,7.0,11
2,4,38,7.0,11
1,2,53,7.0,11
2,4,57,7.0,11
1,2,37,7.0,11
1,4,45,8.0,11
2,4,46,7.0,11
2,4,45,7.0,11
1,4,49,7.0,11
2,4,60,7.0,11
2,2,34,7.0,11
1,2,49,7.0,11
2,1,44,7.0,11
1,4,45,7.0,11
2,4,46,7.0,11
2,1,18,7.0,11
2,4,36,7.0,11
1,4,49,7.0,11
1,4,38,7.0,11
2,4,46,7.0,11
1,4,38,7.0,11
1,4,62,7.0,11
2,2,47,8.0,11
1,2,50,7.0,11
2,4,53,7.0,11
1,4,48,7.0,11
2,4,39,7.0,11
1,2,40,8.0,11
1,1,37,7.0,11
1,4,52,7.0,11
2,4,60,8.0,11
1,4,69,7.0,11
1,1,31,7.0,11
1,1,45,7.0,11
2,1,40,7.0,11
2,1,55,7.0,11
1,1,53,7.0,11
2,1,50,7.0,11
1,1,60,7.0,11
1,1,82,7.0,11
1,4,54,7.0,11
2,4,36,8.0,11
1,1,59,7.0,11
2,4,48,7.0,11
1,1,58,7.0,11
2,4,45,7.0,11
2,4,34,7.0,11
1,4,43,7.0,11
2,4,29,7.0,11
2,4,24,7.0,11
1,4,65,7.0,11
1,4,47,7.0,11
1,4,33,7.0,11
